date,close,high,low,open,volume,weightedAverage
2016-05-21 08:00:00,3.87712762,3.91193603,3.7,3.80830885,732.50066088,3.82294976
2016-05-22 08:00:00,3.90775403,3.98477859,3.8,3.89,985.60525737,3.91597776
2016-05-23 08:00:00,3.95685284,3.96001673,3.85920248,3.86169724,146.81805037,3.92923986
2016-05-24 08:00:00,3.9678629,3.985,3.9223127,3.92231271,559.42403466,3.9610879
2016-05-25 08:00:00,3.99542686,4.06025812,3.952,3.98068645,605.17915614,4.00732728
2016-05-26 08:00:00,4.09877367,4.09999999,3.99542695,4.02559669,189.4477044,4.04205084
2016-05-27 08:00:00,4.34692957,4.61156371,4.04810606,4.04810606,8540.78015302,4.37238635
2016-05-28 08:00:00,4.15129404,4.733,4.01,4.38010175,15926.6583991,4.5328292
2016-05-29 08:00:00,4.46279169,4.70539171,4.20258108,4.20258108,8755.012082,4.53867412
2016-05-30 08:00:00,4.58348868,4.6642,4.44000224,4.5,2810.00580149,4.52690861
2016-05-31 08:00:00,4.59562875,4.71799064,4.46602337,4.56908643,3994.4645178,4.60704989
2016-06-01 08:00:00,4.72257537,4.77112485,4.53228978,4.59562875,1002.55765811,4.68885789
2016-06-02 08:00:00,4.67702992,4.74397688,4.66018551,4.74397688,1010.58863893,4.69292486
2016-06-03 08:00:00,4.88260854,4.88395001,4.67703008,4.68787688,4576.32253611,4.80160682
2016-06-04 08:00:00,4.79261241,4.96248899,4.7,4.86900943,17090.4252099,4.8152298
2016-06-05 08:00:00,4.80000005,4.87334494,4.8,4.84647653,1772.3223613,4.82252065
2016-06-06 08:00:00,4.922,4.97,4.804,4.804,1535.02128493,4.9347321
2016-06-07 08:00:00,4.819,4.98,4.7,4.9710173,2850.15136036,4.78844664
2016-06-08 08:00:00,4.768,4.80597587,4.70100752,4.77731242,1531.83794638,4.76321039
2016-06-09 08:00:00,4.726,4.77799999,4.65,4.75776889,2930.57444436,4.69584078
2016-06-10 08:00:00,4.87537705,4.886,4.68200001,4.728,4858.60309043,4.78533764
2016-06-11 08:00:00,4.98999978,4.98999979,4.82200295,4.82200295,2269.23003191,4.94166086
2016-06-12 08:00:00,5.23803322,5.36805256,4.95000001,4.98999979,16640.5620845,5.16939593
2016-06-13 08:00:00,5.199,5.39999998,5.06140601,5.22191131,24219.5825127,5.28452889
2016-06-14 08:00:00,5.1,5.33479792,4.455,5.21653836,16031.9173813,5.05899539
2016-06-15 08:00:00,5.16763864,5.2399997,5.02100001,5.1,6597.35271893,5.10424936
2016-06-16 08:00:00,5.68910405,5.692,5.16898223,5.21578202,61668.1987638,5.41456112
2016-06-17 08:00:00,5.5912347,5.99999999,5.13610147,5.72955684,37281.2688016,5.548248
2016-06-18 08:00:00,5.56807566,5.76048148,5.28511488,5.54745474,25024.2760459,5.55811285
2016-06-19 08:00:00,5.53295327,5.68555516,5.35267382,5.61148009,4650.32909355,5.55800683
2016-06-20 08:00:00,5.19450143,5.59447641,5.15,5.58926542,10953.8248437,5.34233251
2016-06-21 08:00:00,4.8396824,5.476,4.5,5.19450145,23225.9589715,4.83979069
2016-06-22 08:00:00,3.9668433,5.04886297,3.86,4.83968245,75891.6616106,4.24994347
2016-06-23 08:00:00,3.93590764,4.04204255,3.58708659,3.9668433,46354.6951167,3.81867673
2016-06-24 08:00:00,4.32,4.479,3.92253043,3.94,69603.181501,4.26790166
2016-06-25 08:00:00,4.24215058,4.4936549,3.97021031,4.27840168,23765.4022186,4.38037483
2016-06-26 08:00:00,4.07931954,4.29299989,4.0,4.25401475,6955.65582094,4.11065863
2016-06-27 08:00:00,4.17717986,4.17717986,4.03990002,4.07065073,5973.2528546,4.12671608
2016-06-28 08:00:00,4.09732927,4.20621849,4.0000001,4.169896,3750.21835501,4.10467394
2016-06-29 08:00:00,4.02947212,4.12080746,3.98000912,4.09639781,5207.28301465,4.04496486
